"지역별(1)","시점","도착출발별(1)",운항 (편),여객 (명),화물 (톤)
"중국","2009.01","출발",2810,272195,14560
"중국","2009.02","도착",2551,267029,19094
"중국","2009.02","출발",2557,288576,18122
"중국","2009.03","도착",2943,272335,23862
"중국","2009.03","출발",2945,248808,20630
"중국","2009.04","도착",2809,284828,21883
"중국","2009.04","출발",2826,290075,20559
"중국","2009.05","도착",2980,283013,22162
"중국","2009.05","출발",2984,286744,20139
"중국","2009.06","도착",2647,254136,22047
"중국","2009.06","출발",2666,268357,21872
"중국","2009.07","도착",2983,340634,24956
"중국","2009.07","출발",3007,338237,23925
"중국","2009.08","도착",3168,404444,26471
"중국","2009.08","출발",3192,393553,24359
"중국","2009.09","도착",2828,298495,26860
"중국","2009.09","출발",2852,266758,25450
"중국","2009.10","도착",2867,289841,26492
"중국","2009.10","출발",2886,313000,23950
"중국","2009.11","도착",2715,268014,27318
"중국","2009.11","출발",2734,265132,22601
"중국","2009.12","도착",2693,272180,23970
"중국","2009.12","출발",2709,304677,24404
"중국","2010.01","도착",2828,324964,23866
"중국","2010.01","출발",2843,324380,24678
"중국","2010.02","도착",2627,331934,22609
"중국","2010.02","출발",2642,337779,23279
"중국","2010.03","도착",2851,363306,28632
"중국","2010.03","출발",2879,334161,28335
"중국","2010.04","도착",3011,379620,28864
"중국","2010.04","출발",3028,371679,26937
"중국","2010.05","도착",3296,390937,28522
"중국","2010.05","출발",3308,388419,27562
"중국","2010.06","도착",3163,382277,26121
"중국","2010.06","출발",3184,388340,26065
"중국","2010.07","도착",3376,448380,27173
"중국","2010.07","출발",3408,440174,27142
"중국","2010.08","도착",3473,504732,26725
"중국","2010.08","출발",3491,492911,25150
"중국","2010.09","도착",3272,411910,26873
"중국","2010.09","출발",3311,377258,24545
"중국","2010.10","도착",3388,429895,28667
"중국","2010.10","출발",3412,436920,25135
"중국","2010.11","도착",2967,360518,26584
"중국","2010.11","출발",2989,343796,24011
"중국","2010.12","도착",2935,300502,24520
"중국","2010.12","출발",2957,328181,25823
"중국","2011.01","도착",3058,383725,25871
"중국","2011.01","출발",3083,357605,25260
"중국","2011.02","도착",2693,332116,20144
"중국","2011.02","출발",2700,349758,22214
"중국","2011.03","도착",2962,354394,29495
"중국","2011.03","출발",2975,334269,25438
"중국","2011.04","도착",3128,399681,27624
"중국","2011.04","출발",3141,376022,24993
"중국","2011.05","도착",3319,418967,25321
"중국","2011.05","출발",3323,408911,23220
"중국","2011.06","도착",3290,421429,26463
"중국","2011.06","출발",3309,418525,23660
"중국","2011.07","도착",3529,498099,28493
"중국","2011.07","출발",3548,476748,24309
"중국","2011.08","도착",3603,529491,27818
"중국","2011.08","출발",3618,517922,24213
"중국","2011.09","도착",3428,439791,27485
"중국","2011.09","출발",3439,418777,24084
"중국","2011.10","도착",3518,447190,27146
"중국","2011.10","출발",3521,458859,22649
"중국","2011.11","도착",3026,366877,25264
"중국","2011.11","출발",3035,367793,21130
"중국","2011.12","도착",3052,327779,23511
"중국","2011.12","출발",3065,364710,22876
"중국","2012.01","도착",3152,411058,21904
"중국","2012.01","출발",3158,383473,20948
"중국","2012.02","도착",2931,359231,22798
"중국","2012.02","출발",2950,378951,21993
"중국","2012.03","도착",3204,386118,25750
"중국","2012.03","출발",3212,356527,22629
"중국","2012.04","도착",3288,431838,23796
"중국","2012.04","출발",3313,422681,20981
"중국","2012.05","도착",3626,453371,24176
"중국","2012.05","출발",3649,469483,22353
"중국","2012.06","도착",3618,471634,24888
"중국","2012.06","출발",3633,468650,23030
"중국","2012.07","도착",3965,551688,26150
"중국","2012.07","출발",3993,547289,23757
"중국","2012.08","도착",3960,588132,25969
"중국","2012.08","출발",3985,588990,25448
"중국","2012.09","도착",3763,495195,26517
"중국","2012.09","출발",3773,451106,25093
"중국","2012.10","도착",3951,492138,26706
"중국","2012.10","출발",3978,524097,24780
"중국","2012.11","도착",3490,420543,27008
"중국","2012.11","출발",3492,415559,23879
"중국","2012.12","도착",3447,371757,23127
"중국","2012.12","출발",3454,392813,24042
"중국","2013.01","도착",3473,417503,23201
"중국","2013.01","출발",3481,408799,22267
"중국","2013.02","도착",3254,429419,20805
"중국","2013.02","출발",3260,454281,21600
"중국","2013.03","도착",3615,479405,26614
"중국","2013.03","출발",3622,422755,26200
"중국","2013.04","도착",3910,500504,25970
"중국","2013.04","출발",3940,479743,24493
"중국","2013.05","도착",4091,465949,25380
"중국","2013.05","출발",4102,491277,23715
"중국","2013.06","도착",4078,549708,25691
"중국","2013.06","출발",4076,544620,23241
"중국","2013.07","도착",4498,668198,26617
"중국","2013.07","출발",4518,655246,24612
"중국","2013.08","도착",4669,737586,27467
"중국","2013.08","출발",4673,735883,26707
"중국","2013.09","도착",4212,632582,27424
"중국","2013.09","출발",4226,594037,26281
