대여소,상태,주소,위도,경도,구
삼성중앙역4번출구(문화센터더 리빌),운영중,서울특별시 강남구 봉은사로 531 삼성중앙역4번출구(문화센터더 라빌),37.51357700000001,127.055031,강남구
포스코4거리 서측(수협 삼성동 지점),운영중,서울특별시 강남구 테헤란로 435 포스코4거리 서측(수협 삼성동 지점),37.506607,127.05468,강남구
양평우림 이비즈센타 앞,운영중,서울특별시 영등포구 양평동3가 14-1 양평우림 이비즈센타 앞,37.52565,126.887817,영등포구
도곡역 대치지구대 방향,운영중,서울특별시 강남구 남부순환로 지하 2814 대치지구대 방향,37.491928,127.056969,강남구
학여울역 사거리,운영중,서울특별시 강남구 남부순환로 지하 3104 학여울역 사거리,37.496117,127.069443,강남구
삼성역 3번 출구,운영중,서울특별시 강남구 테헤란로 534 삼성역 3번 출구,37.508091,127.063103,강남구
주식회사 오뚜기 정문 앞,운영중,서울특별시 강남구 영동대로 308 주식회사 오뚜기 정문 앞,37.502213,127.067207,강남구
천주교 대치 2동 교회 옆,운영중,서울특별시 강남구 도곡로 540 천주교 대치 2동 교회 옆,37.500439,127.066223,강남구
대치동 버거킹대치점,운영중,서울특별시 강남구 도곡로 447 대치동 버거킹대치점,37.49865,127.059319,강남구
대치동 삼성로,운영중,서울특별시 강남구 삼성로 350 대치동 삼성로,37.50239600000001,127.0588,강남구
뱅뱅사거리 랜드마크타워 앞,운영중,서울특별시 강남구 강남대로 308 뱅뱅사거리 랜드마크타워 앞,37.490551,127.031464,강남구
르네상스 호텔 사거리 역삼지하보도 7번출구 앞,운영중,서울특별시 강남구 언주로 506 역삼지하보도 7번출구 앞,37.503586,127.042641,강남구
르네상스호텔사거리 역삼지하보도 2번출구,운영중,서울특별시 강남구 테헤란로 지하 156 역삼역 지하보도 2번출구,37.502357,127.04319,강남구
YP 센터 앞,운영중,서울특별시 영등포구 양평동3가 60-1 한국연예사관 건물 앞,37.528488,126.891647,영등포구
스타벅스 앞,운영중,서울특별시 강남구 도곡로 183 스타벅스 앞,37.492199,127.039459,강남구
동영문화센터앞,운영중,서울특별시 강남구 언주로 337 동영문화센터앞,37.498051,127.044601,강남구
선릉역3번출구,운영중,서울특별시 강남구 선릉로 435 선릉역 3번출구,37.504208,127.048965,강남구
양재역 3번출구 주변,운영중,서울특별시 강남구 강남대로 240 양재역 3번출구 주변,37.485157,127.034073,강남구
삼호@ 2동 ( 간선도로),운영중,서울특별시 강남구 선릉로 지하 228 8.삼호@ 2동 ( 간선도로),37.493759,127.045898,강남구
3호선 매봉역 3번출구앞,운영중,서울특별시 강남구 남부순환로 2748 3호선 매봉역 3번출구앞,37.486767,127.046761,강남구
